Number of points: 232050
SW:(40.700000 , -74.000000)
Partition  154000000 : [   0,     0]
Partition  162000000 : [   0,     0]
Partition  264000000 : [   0,     3]
Partition  155000000 : [   0,     0]
Partition  195000000 : [   0,     0]
Partition  165000000 : [   0,     0]
Partition  175000000 : [   0,     0]
Partition  235000000 : [   0,     0]
Partition  245000000 : [   0,     0]
Partition  255000000 : [   0,     0]
Partition  265000000 : [   0,     0]
Partition  275000000 : [   0,     0]
Partition  285000000 : [   0,     0]
Partition  744000000 : [   0,     0]
Partition  594000000 : [   0,     0]
Partition  295000000 : [   0,     0]
Partition  614000000 : [   0,     0]
Partition  315000000 : [   0,     0]
Partition  335000000 : [   0,     2]
Partition  634000000 : [   0,     0]
Partition  365000000 : [   0,     0]
Partition  504000000 : [   0,     1]
Partition  385000000 : [   0,     0]
Partition  395000000 : [   0,     0]
Partition  405000000 : [   0,     0]
Partition  415000000 : [   0,     0]
Partition  425000000 : [   0,     0]
Partition  435000000 : [   0,     0]
Partition   85000000 : [   0,     0]
Partition  664000000 : [   0,     0]
Partition  455000000 : [   0,     0]
Partition  524000000 : [   0,     1]
Partition  305000000 : [   0,     0]
Partition  495000000 : [   0,     1]
Partition  505000000 : [   0,     2]
Partition  515000000 : [   0,     1]
Partition  525000000 : [   0,     0]
Partition  535000000 : [   0,     0]
Partition  545000000 : [   0,     0]
Partition  375000000 : [   0,     0]
Partition  565000000 : [   0,     0]
Partition  575000000 : [   0,     0]
Partition  355000000 : [   0,     1]
Partition  595000000 : [   0,     0]
Partition  605000000 : [   0,     0]
Partition  615000000 : [   0,     0]
Partition  625000000 : [   0,     0]
Partition  635000000 : [   0,     0]
Partition  465000000 : [   0,     1]
Partition  633000000 : [   0,     0]
Partition  294000000 : [   0,     0]
Partition  675000000 : [   0,     0]
Partition  685000000 : [   0,     0]
Partition  695000000 : [   0,     0]
Partition  705000000 : [   0,     0]
Partition  715000000 : [   0,     0]
Partition  725000000 : [   0,     0]
Partition  485000000 : [   0,     0]
Partition  745000000 : [   0,     0]
Partition    6000000 : [   0,     4]
Partition  225000000 : [   0,     0]
Partition  185000000 : [   0,     0]
Partition   36000000 : [   0,     6]
Partition   46000000 : [   1,     9]
Partition   56000000 : [   0,     1]
Partition   66000000 : [   0,     2]
Partition   76000000 : [   0,     1]
Partition  654000000 : [   0,     0]
Partition   96000000 : [   0,     0]
Partition  106000000 : [   0,     0]
Partition  655000000 : [   0,     0]
Partition  126000000 : [   0,     0]
Partition  136000000 : [   0,     0]
Partition  146000000 : [   0,     0]
Partition  156000000 : [   0,     0]
Partition  585000000 : [   0,     0]
Partition  215000000 : [   0,     0]
Partition  186000000 : [   0,     0]
Partition  196000000 : [   0,     0]
Partition  206000000 : [   0,     0]
Partition  216000000 : [   0,     0]
Partition  226000000 : [   0,     0]
Partition  236000000 : [   0,     0]
Partition  246000000 : [   0,     0]
